user_id,business_id,date,stars
A2JGzkvNjckSmps_4FbKWw,Xg5qEQiB-7L6kGJ5F4K3bQ,2014-03-18 01:14:10,5.0
rypcWiSNGM0suWsiSLh9xA,4RoTEeqB_MNn6yaqZmlZHg,2015-08-29 18:32:15,4.0
Dgk0Wdoh7HPjhKQEPBU_jQ,ZOmf-3NN4Z59b2Fw6VAM7g,2015-09-14 16:33:03,3.0
FIk4lQQu1eTe2EpzQ4xhBA,HK2Ki-PvnNN-YMTlX1uSVA,2012-09-29 02:03:42,4.0
VizhcyMWWPz3UDXEBeix4w,UPIYuRaZvknINOd1w8kqRQ,2011-06-10 20:35:42,3.0
2EuPAGalYnP7eSxPgFCNDg,E83nSU_y9zedOzQnkTjV1g,2017-08-14 18:56:00,2.0
WXlxViTwXHPBvhioljN9PQ,IRzY7yoBqoHaZNNo8WiWQQ,2016-04-30 14:42:50,4.0
cMEtAiW60I5wE_vLfTxoJQ,DESv2ys6SjBKA4SyDtJvxw,2012-06-26 00:44:03,4.0
DK57YibC5ShBmqQl97CKog,d8QdPn1vD8C7n5RORyk9nA,2015-11-10 22:56:39,4.0
CrEBVkzIQs7tS-wWfaCjNQ,f4x1YBxkLrZg652xt2KR5g,2016-03-17 07:16:06,1.0
BI4jBJVto2tEQ0NiaR0rNQ,E83nSU_y9zedOzQnkTjV1g,2015-12-01 05:57:02,3.0
6ZC-0LfOAGwaFc5XPke74w,AfEOC5LlBeMt708QEQUihw,2013-03-04 05:10:55,3.0
wmyoMUiW6YU9Audm0lACDg,pk3C3zEvBWl8Pfby1HjvUw,2018-04-30 05:51:38,4.0
22dqLO1If5t3j06a2gd7lA,zJGtD3y-pAIGNId4codEEg,2016-10-09 14:26:58,4.0
T9QzRoP0LZYU7yar41Q7ig,ukCTLs6T8LY1eUBXiAlmCg,2019-01-08 23:29:27,4.0
L8cvMZLWmM4qWTl9SkxJ8g,zoODlH40edpJYLPLkHilNA,2013-06-09 01:27:09,5.0
xLoEhU6zvFzcc0erH7gfyg,VGWEpMEkzQopS5lUNd06Sw,2013-10-23 05:39:22,1.0
cTkwhMLSavNOO_swPKf-ZA,NAPuzJcanOp91dE4GXPOow,2016-01-17 19:52:42,3.0
YfvMjY-G6y86Ov2tS5Txww,jsuUmIEefPjV__ads62Z5w,2010-08-19 18:30:09,5.0
qNeMBnzJc3Kwk8Z39TDZEg,n8Zqqhff-2cxzWt_nwhU2Q,2018-04-10 23:13:15,4.0
NjNJ1JLnMlOfnDI6Oz6Qew,9M6eqYZlyBMo8K9QztXcIA,2012-11-10 06:26:28,3.0
ZhqGf9IFlKQU5rCdswQ_0A,0PMKMyfX1j7Nc4esk1RaMg,2013-09-15 04:57:47,4.0
KGsXnYHvYddGaL_jyl0DMQ,LtNgP4FqXp5nMFOHErK8cw,2010-01-07 01:12:48,3.0
KFZISl5mOUJ6bu3qCUrO-g,L_ZLtfHvfzfoNVQ0-okTXg,2012-09-21 17:53:55,4.0
834vg5H4ZeNnnwEfUrpJzA,qqs7LP4TXAoOrSlaKRfz3A,2016-07-01 21:43:24,5.0
0Md3sO3sRR3GE4eQLtqZbw,Em0MDcxhSYZm7JVpR6WyJA,2017-09-29 05:19:42,3.0
Yg08tRMxm0eaL-rXyNIAHw,I6u-OhmI_IUltexEOSCKzg,2012-10-28 08:30:23,3.0
U4INQZOPSUaj8hMjLlZ3KA,vtkJXE_Vdz27rWm6mfAw6Q,2014-04-09 02:04:37,2.0
MMxRLgkd-MgwowmggmR2Dg,02pL_Xj3sTO_lHcWqUcwKA,2017-12-31 10:20:48,2.0
0mKUbIUXOvH0cHcGQ1KGqg,p3YqOYELqXtLyHz9T49p_w,2013-11-26 07:43:38,3.0
3Y7KI-jzy8rMgzAxGgfNDQ,xIbtbAJLWLNZcqfqF4f-Nw,2016-07-31 23:51:08,5.0
T_RiQ-TOeZf8N2kiCNCiSg,OJdufUU3hVabgviIBHksYw,2008-01-15 05:26:17,3.0
kjeX2RXvW7RhBbD2QLd5jA,E9IPxXY6pS2gTW2FBkAJmg,2011-11-21 00:20:54,4.0
Tr7YMpWd1XZdXdm35CatqA,dNr7VKRti8dXWE-jzfVBtQ,2014-04-27 19:47:53,4.0
sGIGOFKg_yTd76cDPs6pjA,CQk3WJtULz_xOkUM6o7wpQ,2016-06-21 22:18:38,5.0
zgV0ZroIF956gw4cul8MHA,DkZuVzYuylBanEsWK7mNGw,2013-10-01 19:37:23,5.0
-k5yFUChotBMGQgHdFZvLQ,pH0BLkL4cbxKzu471VZnuA,2010-08-30 20:29:07,4.0
JbF91KC0BU2zkuxufDTsDw,_WvEXsx2eZ53lTWHlIx9kg,2013-04-09 00:46:36,4.0
vupnMb60HSaTZrMPYsNsiw,gugN1sgyheBJ6aKtNcv_gQ,2014-04-20 02:36:02,4.0
rn2DB_YX0BvToYe50RNr_Q,8mIrX_LrOnAqWsB5JrOojQ,2010-06-27 08:26:01,5.0
uAJNBvcJA2kIsGx_sSofEw,XiN6fI8I3Mzg2nPRJ9ukRQ,2017-04-18 21:27:04,4.0
PcvbBOCOcs6_suRDH7TSTg,i066yR2IDP4FWt6p-k9aFg,2017-10-19 07:05:45,4.0
Isf8G6HPbNqEisKDjmUlbw,cKgUCzMGuRgkbKXUsgeXUw,2015-12-03 02:06:07,3.0
SfY0jEFqBkrqq9bVi6P31Q,sZsJooAzpKqOvDysphkqpQ,2012-09-05 00:18:36,5.0
PFENoZUD77aioJGrnllIKA,XvOzizKafffkMuk-tIdNcQ,2017-05-11 20:49:04,4.0
Kp5KHBSmV-Htc9NeSjJfPA,YJ8ljUhLsz6CtT_2ORNFmg,2014-06-08 19:34:12,4.0
uByIGcI5EJeKNGyBtCkWBw,dEAk-gE-5Q95a7p91gNn8A,2013-09-17 20:26:53,5.0
MaxlLd0HZmCtdZ3yJ9pyJQ,7sPNbCx7vGAaH7SbNPZ6oA,2010-08-14 23:05:18,4.0
LDu8Kn3k1CZHY5sEq3bLPQ,-IWsoxH7mLJTTpU5MmWY4w,2018-10-11 01:29:42,2.0
L8P5OWO1Jh4B2HLa1Fnbng,33Tr0eRki1Yamzleu4GMdw,2019-05-26 15:13:18,5.0
48vRThjhuhiSQINQ2KV8Sw,Z1E36owKeeZKDL-9ZuanJw,2010-11-07 17:04:50,5.0
AmMd7xpnaf8axS_roCBFRw,eLFfWcdb7VkqNyTONksHiQ,2018-04-29 16:20:20,5.0
